,Unnamed: 0,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE
0,373200,493,2008,2454466.5,1,1545.0,5,Debris Burning,2454467.5,2.0,1200.0,10.0,C,26.41166667,-98.92027778,2008-01-01,2008-01-02
1,1235411,FY2000-BLECKLEY-035,2000,2451544.5,1,1612.0,5,Debris Burning,2451544.5,1.0,1612.0,1.8,B,32.4926,-83.2451,2000-01-01,2000-01-01
2,916059,,2000,2451544.5,1,,7,Arson,,,,0.2,A,34.7825,-81.0139,2000-01-01,
3,476650,,2006,2453736.5,1,,9,Miscellaneous,,,,5.0,B,32.34754656,-93.86139613,2006-01-01,
4,565758,,2006,2453736.5,1,,13,Missing/Undefined,,,,1.0,B,34.37132999,-95.75216999,2006-01-01,
5,640704,,2008,2454466.5,1,,8,Children,,,,2.0,B,29.2612,-98.09705,2008-01-01,
6,1579051,SLEEPY,2012,2455927.5,1,1507.0,7,Arson,2455927.5,1.0,1930.0,145.1,D,35.0683,-96.6058,2012-01-01,2012-01-01
7,1330367,,2004,2453005.5,1,1230.0,9,Miscellaneous,2453005.5,1.0,1230.0,0.1,A,40.59219096,-73.92439405,2004-01-01,2004-01-01
8,814154,,2005,2453371.5,1,,5,Debris Burning,,,,15.0,C,30.4417,-89.3097,2005-01-01,
9,1414910,,1997,2450449.5,1,1540.0,1,Lightning,2450449.5,1.0,1602.0,0.1,A,31.8579,-81.7332,1997-01-01,1997-01-01
10,645470,,2008,2454466.5,1,,9,Miscellaneous,,,,2.0,B,29.2197,-99.7927,2008-01-01,
11,1548311,GRASS FIRE,2011,2455562.5,1,,9,Miscellaneous,,,,1.0,B,31.6197184,-96.281566,2011-01-01,
12,944720,,2002,2452275.5,1,,5,Debris Burning,,,,2.0,B,38.9742,-78.2683,2002-01-01,
13,1628400,CORRIGAN RD,2012,2455927.5,1,,5,Debris Burning,,,,5.0,B,28.257518,-97.669487,2012-01-01,
14,738140,,1994,2449353.5,1,,13,Missing/Undefined,2449353.5,1.0,1110.0,5.0,B,32.87083333,-81.025,1994-01-01,1994-01-01
15,1527621,HAMMETT,2009,2454832.5,1,,5,Debris Burning,,,,1.0,B,33.60379454,-95.15960069,2009-01-01,
16,857495,,2002,2452275.5,1,,5,Debris Burning,,,,3.0,B,32.2592,-85.2183,2002-01-01,
17,639579,,2008,2454466.5,1,,9,Miscellaneous,,,,28.0,C,33.69178,-96.98385999999999,2008-01-01,
18,1527720,00_09,2009,2454832.5,1,,2,Equipment Use,,,,0.5,B,32.83328236,-95.29768272,2009-01-01,
19,868017,,1998,2450814.5,1,,5,Debris Burning,,,,1.1,B,34.7386,-84.8439,1998-01-01,
20,829387,,2000,2451544.5,1,,9,Miscellaneous,,,,0.1,A,30.5731,-88.5322,2000-01-01,
21,1056261,HEATHSVILLE CREEK FIRE,2004,2453005.5,1,,5,Debris Burning,,,,2.5,B,36.2333,-77.7333,2004-01-01,
22,1147232,,2009,2454832.5,1,2352.0,7,Arson,2454833.5,2.0,220.0,15.0,C,33.617928000000006,-85.336177,2009-01-01,2009-01-02
23,646765,,2008,2454466.5,1,,5,Debris Burning,,,,1.0,B,32.2564,-95.0755,2008-01-01,
24,1672137,RILEY RD (64),2013,2456293.5,1,1328.0,9,Miscellaneous,2456293.5,1.0,1613.0,8.7,B,29.2187,-81.5016,2013-01-01,2013-01-01
25,1548296,HALL DRIVE NORTH,2011,2455562.5,1,,5,Debris Burning,,,,1.0,B,30.264886999999998,-95.76722099999999,2011-01-01,
26,1817933,786 LORI BES LANE,2015,2457024.5,2,1335.0,5,Debris Burning,2457024.5,2.0,1400.0,1.0,B,38.85948663,-78.93244624,2015-01-02,2015-01-02
27,1386315,,1993,2448989.5,2,2000.0,7,Arson,2448990.5,3.0,55.0,2.58,B,33.8301,-84.9604,1993-01-02,1993-01-03
28,428344,,2004,2453006.5,2,,2,Equipment Use,,,,0.4,B,34.26251752,-83.74234139,2004-01-02,
29,816289,,2006,2453737.5,2,,5,Debris Burning,,,,2.0,B,33.1136,-89.3997,2006-01-02,
30,1377975,,1993,2448989.5,2,1535.0,9,Miscellaneous,2448989.5,2.0,1615.0,10.0,C,31.3961,-84.95700000000001,1993-01-02,1993-01-02
31,367225,WINNABEGO,2003,2452641.5,2,1700.0,3,Smoking,2452641.5,2.0,1730.0,0.1,A,35.6927,-75.4908,2003-01-02,2003-01-02
32,6417,ROCK SHOP,2006,2453737.5,2,1600.0,7,Arson,2453737.5,2.0,1800.0,25.0,C,34.15611111,-94.74,2006-01-02,2006-01-02
33,249598,BULL CREEK,2006,2453737.5,2,1145.0,7,Arson,2453737.5,2.0,1400.0,15.0,C,36.4847,-96.1025,2006-01-02,2006-01-02
34,646299,,2008,2454467.5,2,,9,Miscellaneous,,,,40.0,C,27.398429999999998,-98.30553,2008-01-02,
35,422810,,2005,2453372.5,2,,2,Equipment Use,,,,0.01,A,31.8743005,-82.96762982,2005-01-02,
36,405602,,2004,2453006.5,2,,7,Arson,,,,2.0,B,29.40027999,-81.63167,2004-01-02,
37,1198324,,2009,2454833.5,2,,5,Debris Burning,,,,3.0,B,39.28819063,-77.98081959,2009-01-02,
