,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
829373,,2000,2451609.5,66,,9.0,Miscellaneous,,,,0.1,A,30.7047,-89.3525
1809170,1501706,2015,2457337.5,315,1418,11.0,Powerline,2457337.5,315.0,1431,0.01,A,38.6,-95.28
431856,,2004,2453077.5,73,,5.0,Debris Burning,,,,0.12,A,34.94978909,-84.35280409
710286,,1996,2450228.5,146,1830,7.0,Arson,2450228.5,146.0,2012,1.0,B,31.50096327,-89.10201294
880502,,1999,2451310.5,132,,5.0,Debris Burning,,,,1.0,B,31.2072,-84.1956
1058606,NICE PINE,2004,2453091.5,87,,3.0,Smoking,,,,0.1,A,35.25,-81.05
532620,,2008,2454683.5,218,,13.0,Missing/Undefined,,,,0.1,A,35.13398,-82.70145
675489,,2004,2453128.5,124,,7.0,Arson,,,,0.2,A,45.97181249,-91.35116212
709012,,1996,2450125.5,43,0844,7.0,Arson,2450125.5,43.0,1055,35.0,C,30.83872356,-89.09707676
274347,C.T.CIRCLE,2003,2452753.5,114,2130,8.0,Children,2452753.5,114.0,2145,0.1,A,45.97,-89.8877
1063127,VALENCIA,2009,2455051.5,220,1030,1.0,Lightning,2455054.5,223.0,1400,0.25,A,36.66138889,-107.20972222
1055336,HORN ROAD GRASS FIRE,2004,2453085.5,81,,5.0,Debris Burning,,,,0.2,A,34.1333,-77.9
285882,WATER TOWER1,2006,2453914.5,179,2237,10.0,Fireworks,2453914.5,179.0,2246,0.1,A,45.6075,-107.4705
826962,,2000,2451581.5,38,,9.0,Miscellaneous,,,,0.1,A,31.5786,-89.6314
1521906,,2011,2455569.5,8,1237,5.0,Debris Burning,2455569.5,8.0,1326,5.0,B,36.5722,-93.289
620753,,2005,2453554.5,184,,9.0,Miscellaneous,,,,5.0,B,33.48137001,-97.04424
997242,,1992,2448691.5,70,,5.0,Debris Burning,,,,3.0,B,35.2483,-77.2883
541392,,2000,2451618.5,75,,8.0,Children,,,,0.25,A,39.925,-74.15833
803507,,2000,2451634.5,91,,7.0,Arson,,,,15.0,C,37.3086,-83.6836
999062,,1992,2448723.5,102,,3.0,Smoking,,,,10.0,C,35.5317,-77.625
761381,,1992,2448801.5,180,,1.0,Lightning,,,,6.5,B,47.69538,-117.59599
805676,,2001,2451979.5,70,,5.0,Debris Burning,,,,2.0,B,37.7931,-83.1522
1542750,COTTRELL,2010,2455333.5,137,,5.0,Debris Burning,,,,5.0,B,31.421046,-99.07093
516016,,2006,2453831.5,96,,3.0,Smoking,,,,4.0,B,35.88744998,-82.61189
1112289,3-17/ SHF WHITE          ,2007,2454291.5,191,,1.0,Lightning,,,,3.0,B,41.2,-121.31
560989,BALDY,2004,2453171.5,167,,1.0,Lightning,,,,0.25,A,36.67889,-105.17779998
170252,BOHN FIRE,2004,2453291.5,287,1745,5.0,Debris Burning,2453292.5,288.0,1500,0.25,A,46.30138889,-112.96305556
218870,EAGLE,1992,2448755.5,134,1400,1.0,Lightning,2448755.5,134.0,1900,1.0,B,41.3166,-120.1177
1740908,MOUNTAIN HOME RANCH FIRE/ CONE CREEK RANCH,2014,2456702.5,45,,11.0,Powerline,,,,10.0,C,32.973856,-98.57646
956870,,1998,2450993.5,180,,1.0,Lightning,,,,0.1,A,29.89,-81.84
230958,RIBLADOS,1994,2449560.5,208,1500,1.0,Lightning,2449561.5,209.0,1000,10.0,C,32.4501,-106.9339
1297544,,2008,2454620.5,155,1451,9.0,Miscellaneous,2454620.5,155.0,1451,0.1,A,40.76925199,-73.25335803
174133,,1994,2449422.5,70,2240,7.0,Arson,2449422.5,70.0,2247,0.5,B,34.5168,-94.9002
1017260,,1995,2449812.5,95,,7.0,Arson,,,,0.2,A,36.2183,-81.1717
1381455,,1992,2448694.5,73,1630,7.0,Arson,2448694.5,73.0,1820,4.9,B,32.5617,-84.9079
764485,,1994,2449597.5,245,,9.0,Miscellaneous,,,,0.5,B,47.01633,-122.92746
485301,,2008,2454615.5,150,,9.0,Miscellaneous,,,,1.0,B,44.74152,-84.08893
1775795,,2014,2456740.5,83,1745,9.0,Miscellaneous,2456742.5,85.0,,0.5,B,39.3304,-75.1899
1875184,,2012,2456203.5,277,1922,11.0,Powerline,,,,5.0,B,35.50401667,-119.04933333
246052,207 AVE #3,1994,2449472.5,120,1400,5.0,Debris Burning,2449472.5,120.0,1500,2.0,B,25.649889,-80.529223
1492736,FY2012-SCREVEN-020,2011,2455892.5,331,0020,7.0,Arson,2455892.5,331.0,0139,0.4,B,32.65847038,-81.63670563
1671968,,2013,2456403.5,111,,5.0,Debris Burning,2456403.5,111.0,,2.0,B,43.965865,-72.202457
